"@timestamp","user.name","source.ip","source.geo.country_name","host.hostname","event.action","event.outcome","event.category","suricata.eve.event_type","related.ip","related.user","related.hash","process.name","process.command_line","destination.ip","destination.address","network.protocol","destination.port","http.request.method","http.response.status_code","suricata.eve.http.http_content_type","url.query","url.domain","url.original"
"Aug 5, 2026 @ 06:26:20.514","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58",ssh,22,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:57:04.930","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-","-","-","-","-","-","-","-"
"Aug 5, 2026 @ 05:53:49.312","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58",rfb,5901,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:53:08.615","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58",rfb,5901,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:53:08.577","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58",tls,5901,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:53:07.695","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58",tls,5901,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:53:07.665","-","10.10.1.10","-","-","-","-",network,tls,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58",tls,5901,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:53:07.615","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58",ssh,22,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:53:06.506","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58",ssh,22,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:53:06.497","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58",rfb,5901,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:53:06.481","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58",ssh,22,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:53:05.436","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58",rfb,5901,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:53:04.402","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",22,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:53:03.388","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",22,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:53:03.313","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",1,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:53:03.313","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",22,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:53:02.517","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58",tls,5901,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:53:02.407","-","10.10.1.10","-","-","-","-",network,tls,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58",tls,5901,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:53:02.305","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",22,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:53:01.383","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",1,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:53:01.348","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",22,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:53:01.335","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58",ssh,22,"-","-","-","-","-","-"
