"@timestamp","user.name","source.ip","source.geo.country_name","host.hostname","event.action","event.outcome","event.category","suricata.eve.event_type","related.ip","related.user","related.hash","process.name","process.command_line","destination.ip","network.protocol","destination.address"
"Aug 3, 2026 @ 19:35:46.017","-","10.10.1.10","-","-","-","-",network,ssh,"10.10.1.10, 10.10.1.57","-","-","-","-","10.10.1.57",ssh,"10.10.1.57"
"Aug 3, 2026 @ 19:23:04.993","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.57","-","-","-","-","10.10.1.57",http,"10.10.1.57"
"Aug 3, 2026 @ 19:22:00.954","-","10.10.1.10","-","-","-",success,"network, web",http,"10.10.1.10, 10.10.1.57","-","-","-","-","10.10.1.57",http,"10.10.1.57"
"Aug 3, 2026 @ 19:21:34.441","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.57","-","-","-","-","10.10.1.57","-","10.10.1.57"
"Aug 3, 2026 @ 19:21:33.422","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.57","-","-","-","-","10.10.1.57","-","10.10.1.57"
"Aug 3, 2026 @ 19:21:28.354","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.57","-","-","-","-","10.10.1.57","-","10.10.1.57"
"Aug 3, 2026 @ 19:20:48.179","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.57","-","-","-","-","10.10.1.57","-","10.10.1.57"
"Aug 3, 2026 @ 19:20:48.146","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.57","-","-","-","-","10.10.1.57","-","10.10.1.57"
"Aug 3, 2026 @ 19:20:45.168","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.57","-","-","-","-","10.10.1.57","-","10.10.1.57"
"Aug 3, 2026 @ 19:18:30.633","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.57","-","-","-","-","10.10.1.57","-","10.10.1.57"
"Aug 3, 2026 @ 19:18:28.607","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.57","-","-","-","-","10.10.1.57","-","10.10.1.57"
"Aug 3, 2026 @ 19:18:26.681","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.57","-","-","-","-","10.10.1.57","-","10.10.1.57"
