"@timestamp","user.name","source.ip","source.geo.country_name","host.hostname","event.action","event.outcome","event.category","suricata.eve.event_type","related.ip","related.user","related.hash","process.name","process.command_line","destination.ip","network.protocol","destination.address","http.request.method","http.response.status_code","suricata.eve.http.http_content_type","url.query","url.domain","url.original"
"Aug 5, 2026 @ 03:38:11.482","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.54","-","-","-","-","10.10.1.54","-","10.10.1.54","-","-","-","-","-","-"
"Aug 5, 2026 @ 03:36:32.521","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.54","-","-","-","-","10.10.1.54",ftp,"10.10.1.54","-","-","-","-","-","-"
"Aug 5, 2026 @ 03:36:29.637","-","10.10.1.10","-","-","-","-",network,ssh,"10.10.1.10, 10.10.1.54","-","-","-","-","10.10.1.54",ssh,"10.10.1.54","-","-","-","-","-","-"
"Aug 5, 2026 @ 03:36:18.227","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.54","-","-","-","-","10.10.1.54","ftp-data","10.10.1.54","-","-","-","-","-","-"
"Aug 5, 2026 @ 03:35:31.828","-","10.10.1.10","-","-","-","-",network,ftp,"10.10.1.10, 10.10.1.54","-","-","-","-","10.10.1.54",ftp,"10.10.1.54","-","-","-","-","-","-"
"Aug 5, 2026 @ 03:35:15.710","-","10.10.1.10","-","-","-","-",network,ftp,"10.10.1.10, 10.10.1.54","-","-","-","-","10.10.1.54",ftp,"10.10.1.54","-","-","-","-","-","-"
"Aug 5, 2026 @ 03:35:15.666","-","10.10.1.10","-","-","-","-",network,ftp,"10.10.1.10, 10.10.1.54","-","-","-","-","10.10.1.54",ftp,"10.10.1.54","-","-","-","-","-","-"
"Aug 5, 2026 @ 03:35:15.661","-","10.10.1.10","-","-","-","-",network,"ftp_data","10.10.1.10, 10.10.1.54","-","-","-","-","10.10.1.54",ftp,"10.10.1.54","-","-","-","-","-","-"
"Aug 5, 2026 @ 03:35:15.648","-","10.10.1.10","-","-","-","-",network,ftp,"10.10.1.10, 10.10.1.54","-","-","-","-","10.10.1.54",ftp,"10.10.1.54","-","-","-","-","-","-"
"Aug 5, 2026 @ 03:35:15.639","-","10.10.1.10","-","-","-","-",network,ftp,"10.10.1.10, 10.10.1.54","-","-","-","-","10.10.1.54",ftp,"10.10.1.54","-","-","-","-","-","-"
